date,close,high,low,open,volume
2011/8/25,22.34114647,23.28011175,22.13550596,22.8688285,4542000
2011/8/26,22.47306442,22.64960521,21.61363892,22.11028296,3540300
2011/8/29,23.13849258,23.17535176,22.77183019,22.79511084,2903400
2011/8/30,22.99493217,23.37905398,22.79705111,23.00463429,3953400
2011/8/31,23.26458549,23.54200831,23.02984534,23.25100697,2374500
2011/9/1,22.91539574,23.34607889,22.86495581,23.23549691,2929800
2011/9/2,22.05984116,22.81838686,21.9337425,22.58170404,3733800
2011/9/6,21.7378006,21.77078114,21.13445766,21.30517941,2993100
2011/9/7,22.45366859,22.47112797,21.82898537,22.05790652,4153800
2011/9/8,22.17625427,22.47307705,21.98807306,22.25967476,3472200
2011/9/9,21.66797066,22.04045221,21.53411024,21.9550913,4310700
2011/9/12,21.94538879,21.94926742,21.20818311,21.37890489,3250800
2011/9/13,22.07148743,22.18982886,21.18684283,21.72810566,4745100
2011/9/14,22.40516853,22.72526965,21.71258596,22.19370674,4916100
2011/9/15,23.29369545,23.3286142,22.50993067,22.74467313,4461300
2011/9/16,23.15013313,23.45083222,22.68646953,23.28787214,4236900
2011/9/19,22.43815231,22.69811364,22.11999158,22.69811364,4153200
2011/9/20,22.36830902,22.92509077,22.34308795,22.55842837,3981900
2011/9/21,21.47008705,22.5021729,21.464268,22.32563204,3832500
2011/9/22,18.77735138,20.85510138,18.72303061,20.83958242,16693800
2011/9/23,19.15952873,19.42725167,18.64930613,18.65706783,8645700
2011/9/26,19.710495,19.73571384,18.89763065,19.35741115,6240000
2011/9/27,19.73766136,20.42442505,19.59410104,20.32742382,5938200
2011/9/28,18.98696327,19.83878208,18.94028952,19.73570855,5866200
2011/9/29,19.54706383,19.67736352,19.08226037,19.49455446,4626000
2011/9/30,18.59995461,19.19117079,18.19932832,19.11921383,8038500
2011/10/3,17.57700157,18.46576963,17.55949807,18.02235765,7983900
2011/10/4,18.59412003,18.61940211,17.05773746,17.30861531,7800000
2011/10/5,19.02975655,19.10171351,17.97567969,18.46965688,5413500
2011/10/6,19.34091949,19.37398128,18.64468459,18.92278974,4135200
2011/10/7,18.46187401,19.41676422,18.45409431,19.41676422,5018100
2011/10/10,19.40315247,19.43621202,18.95585133,19.03364167,3134700
2011/10/11,18.83527756,19.13866485,18.44243091,19.13866485,5382900
2011/10/12,18.94807625,19.22423738,18.87028588,19.22423738,6905100
2011/10/13,19.03947449,19.13865984,18.37824771,18.81582504,4717500
2011/10/14,19.66570091,19.86601239,19.2747973,19.35647805,5420700
2011/10/17,19.10170937,19.59762943,19.04141918,19.5198391,4926600
2011/10/18,19.86990166,20.09744152,18.87416881,19.11337767,4524900
2011/10/19,19.50428009,19.89323845,19.38953756,19.77655072,4182000
2011/10/20,19.45371246,19.57817876,19.11726353,19.30007479,4622100
2011/10/21,20.13438988,20.14605887,19.59373903,19.71431717,3264900
2011/10/24,20.66726685,20.75478322,20.10328011,20.18690385,3961500
2011/10/25,19.65013504,20.2958045,19.60734947,20.2958045,5097300
2011/10/26,19.6131916,20.24524707,19.27868555,20.24524707,5992200
2011/10/27,21.05039024,21.52491759,20.47667753,20.64976283,12331800
2011/10/28,21.57158661,21.85552621,20.98037164,21.12039735,8249400
2011/10/31,20.73727226,21.1320662,20.7003223,20.92786213,5308800
2011/11/1,19.4478817,20.26274845,18.96363058,18.96363058,7081500
2011/11/2,20.15578461,20.27636275,19.70848346,20.06632527,2829600
2011/11/3,20.77617264,20.83451539,19.72793044,20.62058973,4253400
2011/11/4,20.79561996,20.87730071,20.18884552,20.60697527,3336000
2011/11/7,20.86563301,20.89091621,20.35609869,20.70616191,2082900
2011/11/8,21.20985794,21.37710983,20.76450204,20.9589801,2822400
2011/11/9,20.11494637,20.64198534,20.0663274,20.59336415,4053000
2011/11/10,20.37554932,20.56419405,20.08383103,20.26275196,2790300
2011/11/11,20.9239769,21.09706219,20.67309904,20.75283459,3495000
2011/11/14,20.4047184,20.85980039,20.27441868,20.8014554,2833500
2011/11/15,20.38332558,20.59530603,20.16356431,20.26274744,3108300
2011/11/16,19.95352936,20.36387834,19.91074378,20.11883607,3407400
2011/11/17,19.3370285,19.86211996,19.13088144,19.86211996,7930200
2011/11/18,19.32341385,19.54317511,19.20089273,19.50817035,3810000
2011/11/21,18.56690216,18.9869751,18.38214667,18.98308692,6172500
2011/11/22,18.55911827,18.89945666,18.37047464,18.51244339,4321200
2011/11/23,17.86676979,18.29462336,17.8473222,18.27128648,4004100
